"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 14, 2019","15.781","15.735","15.790","15.690","2.86K","0.92%"
"Jan 13, 2019","15.637","15.635","15.652","15.633","-","-0.72%"
"Jan 11, 2019","15.751","15.720","15.860","15.695","3.39K","0.08%"
"Jan 10, 2019","15.739","15.885","15.930","15.685","2.86K","-0.58%"
"Jan 09, 2019","15.831","15.820","15.915","15.730","5.14K","0.16%"
"Jan 08, 2019","15.806","15.790","15.830","15.660","3.98K","-0.25%"
"Jan 07, 2019","15.846","15.895","15.960","15.770","0.86K","0.58%"
"Jan 06, 2019","15.755","15.770","15.805","15.752","-","-0.76%"
"Jan 04, 2019","15.876","15.890","16.040","15.735","2.64K","-0.06%"
"Jan 03, 2019","15.885","15.715","15.895","15.645","2.90K","0.95%"
"Jan 02, 2019","15.735","15.620","15.755","15.475","1.53K","1.37%"
"Jan 01, 2019","15.523","15.560","15.560","15.515","-","-0.66%"
